DISTRICT       , STATE_CODE, PR_NAME               , _mean            , Nitrogenmean      , organicmean     , Phosphorousmean  , Phvaluemean
KANCHANPUR     ,          7, Sudurpashchim Province, 131.272540609046 , 0.0896434820632919, 1.77377424661822,  34.5890023763427, 7.30370091375685
KAPILBASTU     ,          5, Lumbini Province      , 203.623103057436 , 0.100917059609816 , 1.89117043368294,  64.6511899229649, 7.24225859112583
KASKI          ,          4, Gandaki Province      , 178.985725944854 , 0.15442640435205  , 3.1027342045444 ,  72.053408605867 , 5.63889217427502
KATHMANDU      ,          3, Bagmati Province      , 264.110593875468 , 0.15712586664956  , 3.18734821490731, 103.441143050215 , 5.68077896464943
KHOTANG        ,          1, Koshi Province        , 570.506424330257 , 0.164639770228709 , 3.36871857330258, 142.774027765281 , 6.11313324047924
LALITPUR       ,          3, Bagmati Province      , 328.699357392353 , 0.170693859182162 , 3.60404062064105,  97.8892885375356, 5.90752661792669
LAMJUNG        ,          4, Gandaki Province      , 166.638125907701 , 0.156077489873808 , 3.29657830796891, 114.977490910563 , 5.76887646030865
MAHOTTARI      ,          2, Madhesh Province      ,  89.0523401931743, 0.105505414448629 , 1.53681448264249,  35.7023984353165, 6.21434485707373
MAKAWANPUR     ,          3, Bagmati Province      , 248.747604545184 , 0.13183394525659  , 3.00095802938863, 120.159976703518 , 5.78593868284733
MANANG         ,          4, Gandaki Province      , 424.921603423183 , 0.325862603338019 , 4.32103379351421, 141.003324216083 , 6.24244846556951
MORANG         ,          1, Koshi Province        , 181.23714618601  , 0.0942170460435101, 1.92586307621722,  37.6410558182245, 6.32608321795286
MUGU           ,          6, Karnali Province      , 263.380068569702 , 0.125506275252399 , 4.08698874927317, 186.690619187985 , 7.09450580244332
MUSTANG        ,          4, Gandaki Province      , 379.323829357573 , 0.215011607281011 , 4.07517509544559, 155.788660422972 , 6.63328320750388
MYAGDI         ,          4, Gandaki Province      , 353.13606139049  , 0.173414576561193 , 3.68759349691876, 214.482872536434 , 6.04501443362091
NAWALPARASI_E  ,          4, Gandaki Province      , 171.301081827196 , 0.121214691114625 , 2.32493160430211,  53.2872014070441, 6.07211767656373
NAWALPARASI_W  ,          5, Lumbini Province      , 116.764238598711 , 0.0844409889655   , 1.64869655736131,  44.392201661222 , 7.34831070223391
NUWAKOT        ,          3, Bagmati Province      , 225.217758376186 , 0.165817219876061 , 3.11697339822482,  56.0506968669311, 5.84125763226907
OKHALDHUNGA    ,          1, Koshi Province        , 485.824933423802 , 0.181701865172169 , 3.66111232283744, 119.537118790117 , 5.88399072874108
PALPA          ,          5, Lumbini Province      , 256.894220190774 , 0.137318277557528 , 3.03297254540623,  91.8766897122486, 6.33758812670282
PANCHTHAR      ,          1, Koshi Province        , 316.494627782254 , 0.124330485249073 , 3.10273955703911, 240.324144548503 , 6.10174908627369
PARBAT         ,          4, Gandaki Province      , 207.84815559118  , 0.169950491356389 , 3.40349507110183,  82.9595952352668, 5.73858091079885
PARSA          ,          2, Madhesh Province      , 106.294523352761 , 0.0890366639011917, 1.41976793800242,  32.6341705774616, 6.12336358832026
PYUTHAN        ,          5, Lumbini Province      , 467.06105633097  , 0.109934012073795 , 2.36062430387048, 171.061623965142 , 6.39066998109686
RAMECHHAP      ,          3, Bagmati Province      , 315.893055471425 , 0.156598731635481 , 3.18118514770153,  83.7272694841293, 5.93530521552835
RASUWA         ,          3, Bagmati Province      , 303.947637318664 , 0.191512472635851 , 3.79950059194161,  57.2098591681754, 5.89673986838381
RAUTAHAT       ,          2, Madhesh Province      , 145.125791774952 , 0.104901417803555 , 1.77976234057964,  44.7550129427155, 6.90008192576278
ROLPA          ,          5, Lumbini Province      , 528.747923482135 , 0.130187235876249 , 2.47086037775873, 168.766012078651 , 6.57275978481274
RUKUMEAST      ,          5, Lumbini Province      , 491.578161899247 , 0.160993484393413 , 3.12617651203588, 173.980011387344 , 6.40898419498412
RUKUMWEST      ,          6, Karnali Province      , 442.381061568601 , 0.168704690963043 , 3.26718599998588, 130.428036643991 , 6.66100726858075
RUPANDEHI      ,          5, Lumbini Province      , 115.936022249062 , 0.095442283175747 , 1.78915764793836,  62.5443438893856, 6.82489525902767
SALYAN         ,          6, Karnali Province      , 355.109524139346 , 0.128866752380664 , 2.90151587040756, 168.980671749596 , 6.50132504769655
SANKHUWASABHA  ,          1, Koshi Province        , 398.825121157752 , 0.185700416343397 , 3.80773490414778,  73.6742350267876, 5.61906991000148
SAPTARI        ,          2, Madhesh Province      , 148.06213714943  , 0.0779959378314166, 1.42416968473388,  40.5059233241752, 5.98521416981909
SARLAHI        ,          2, Madhesh Province      , 169.119553936461 , 0.117072027288068 , 1.89570595754801,  38.29483183666  , 6.68646757017644
SINDHULI       ,          3, Bagmati Province      , 281.082031977321 , 0.112265382163962 , 2.63653583112347,  64.8940609696022, 5.87498102623433
SINDHUPALCHOK  ,          3, Bagmati Province      , 252.901880562627 , 0.164142701448149 , 3.29840492011591,  48.8590104945705, 5.74743952872731
SIRAHA         ,          2, Madhesh Province      , 147.431112525522 , 0.0923899370857775, 1.23714850424744,  40.3012087168646, 6.51857353889331
SOLUKHUMBU     ,          1, Koshi Province        , 464.994048785511 , 0.250034422181357 , 4.76855187048888, 127.13538546226  , 5.29953872650607
SUNSARI        ,          1, Koshi Province        , 168.060067495812 , 0.087669963221729 , 1.78891936899074,  41.2430883540688, 6.28370004291388
SURKHET        ,          6, Karnali Province      , 381.785799519815 , 0.151245844332941 , 3.11244147073425, 141.508321836535 , 6.83070319276825
SYANGJA        ,          4, Gandaki Province      , 211.833580021596 , 0.136571969525882 , 2.90977127066108,  66.3478699415328, 6.07573561968281
TANAHU         ,          4, Gandaki Province      , 226.831505724621 , 0.166124147717232 , 2.71716293439456,  50.8254619261619, 5.87343715357533
TAPLEJUNG      ,          1, Koshi Province        , 277.547029032904 , 0.107319136157988 , 3.67571148325673, 120.788624163668 , 5.76367916603339
TERHATHUM      ,          1, Koshi Province        , 301.62103337383  , 0.104251495127099 , 3.0688005653897 , 119.227259378819 , 6.14254417466116
UDAYAPUR       ,          1, Koshi Province        , 393.637565198524 , 0.127308461101252 , 2.64114980273531,  96.2177494463199, 6.10875011258569
