ID,PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,DISTRICT_C,SHAPE_LENG,SHAPE_AREA,OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng_2,Shape_Le_1,Shape_Area_2
1006,1,TAPLEJUNG,Nagarpalika,Phungling,1,66904.31402360000,125565841.17700000107,628,628,0.03580900000,2.79860700000,"14",392.19900000000,628,550,4124,57.00000000000,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",288373.96615699999,2.75981460844,0.03582182910
1006,1,TAPLEJUNG,Nagarpalika,Phungling,1,66904.31402360000,125565841.17700000107,700,700,0.04661300000,6.85440700000,"12",511.29900000000,700,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,701248.23501299997,6.71358581795,0.04666430386
1006,1,TAPLEJUNG,Nagarpalika,Phungling,1,66904.31402360000,125565841.17700000107,701,701,0.00470800000,0.99763300000,"11",51.61200000000,701,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",103151.28856400000,0.98133130711,0.00471090991
1006,1,TAPLEJUNG,Nagarpalika,Phungling,1,66904.31402360000,125565841.17700000107,715,715,0.00104100000,0.42382800000,"11",11.41400000000,715,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",42500.69041470000,0.41106657733,0.00104703428
1006,1,TAPLEJUNG,Nagarpalika,Phungling,1,66904.31402360000,125565841.17700000107,724,724,0.01885100000,2.58577200000,"11",206.87800000000,724,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",267585.61836399999,2.55020592406,0.01880903208
1007,1,TAPLEJUNG,Gaunpalika,Sidingba,1,75739.31297060000,205995313.38299998641,559,559,0.13048600000,9.44094200000,"15",1428.98200000000,559,934,5649,56.90000000000,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",965042.71843000001,9.25121981063,0.13135952368
1007,1,TAPLEJUNG,Gaunpalika,Sidingba,1,75739.31297060000,205995313.38299998641,651,651,0.01006800000,0.88173200000,"17",110.23100000000,651,1803,8231,48.40000000000,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",91089.09934810000,0.87292006831,0.01005900110
1007,1,TAPLEJUNG,Gaunpalika,Sidingba,1,75739.31297060000,205995313.38299998641,680,680,0.00635200000,0.83263300000,"14",69.60400000000,680,550,4124,57.00000000000,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",84530.55834100000,0.81767464854,0.00636447339
1007,1,TAPLEJUNG,Gaunpalika,Sidingba,1,75739.31297060000,205995313.38299998641,700,700,0.04661300000,6.85440700000,"12",511.29900000000,700,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,701248.23501299997,6.71358581795,0.04666430386
1007,1,TAPLEJUNG,Gaunpalika,Sidingba,1,75739.31297060000,205995313.38299998641,756,756,0.00998300000,1.83908400000,"11",109.57000000000,756,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",187009.68591000000,1.78491293674,0.00996604617
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,519,519,0.15903800000,5.61106000000,"17",1738.07900000000,519,1803,8231,48.40000000000,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",552121.38611299999,5.29167786411,0.16015071790
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,559,559,0.13048600000,9.44094200000,"15",1428.98200000000,559,934,5649,56.90000000000,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",965042.71843000001,9.25121981063,0.13135952368
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,620,620,0.00197800000,0.44563100000,glacier,21.63400000000,620,3735,7194,33.20000000000,387,0,GG,GG,GG,GG,GG,45932.99904320000,0.44150219071,0.00197059363
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,628,628,0.03580900000,2.79860700000,"14",392.19900000000,628,550,4124,57.00000000000,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",288373.96615699999,2.75981460844,0.03582182910
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,651,651,0.01006800000,0.88173200000,"17",110.23100000000,651,1803,8231,48.40000000000,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",91089.09934810000,0.87292006831,0.01005900110
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,652,652,0.00139300000,0.38617300000,"16",15.24400000000,652,2262,5888,38.80000000000,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",39271.07445980000,0.38049844961,0.00139723526
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,680,680,0.00635200000,0.83263300000,"14",69.60400000000,680,550,4124,57.00000000000,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",84530.55834100000,0.81767464854,0.00636447339
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,700,700,0.04661300000,6.85440700000,"12",511.29900000000,700,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,701248.23501299997,6.71358581795,0.04666430386
1008,1,TAPLEJUNG,Gaunpalika,Sirijangha,1,150240.60151300000,481090490.54799997807,715,715,0.00104100000,0.42382800000,"11",11.41400000000,715,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",42500.69041470000,0.41106657733,0.00104703428
1009,1,TAPLEJUNG,Gaunpalika,Yangwarak,1,49651.68268030000,92761978.45670001209,559,559,0.13048600000,9.44094200000,"15",1428.98200000000,559,934,5649,56.90000000000,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",965042.71843000001,9.25121981063,0.13135952368
1009,1,TAPLEJUNG,Gaunpalika,Yangwarak,1,49651.68268030000,92761978.45670001209,700,700,0.04661300000,6.85440700000,"12",511.29900000000,700,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,701248.23501299997,6.71358581795,0.04666430386
1009,1,TAPLEJUNG,Gaunpalika,Yangwarak,1,49651.68268030000,92761978.45670001209,701,701,0.00470800000,0.99763300000,"11",51.61200000000,701,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",103151.28856400000,0.98133130711,0.00471090991
1009,1,TAPLEJUNG,Gaunpalika,Yangwarak,1,49651.68268030000,92761978.45670001209,715,715,0.00104100000,0.42382800000,"11",11.41400000000,715,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",42500.69041470000,0.41106657733,0.00104703428
1009,1,TAPLEJUNG,Gaunpalika,Yangwarak,1,49651.68268030000,92761978.45670001209,739,739,0.00099300000,0.26401700000,"11",10.89000000000,739,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",26735.90472870000,0.25815531987,0.00099032263
2001,1,PANCHTHAR,Gaunpalika,Falelung,2,71995.60696590002,207140709.23000001907,559,559,0.13048600000,9.44094200000,"15",1428.98200000000,559,934,5649,56.90000000000,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",965042.71843000001,9.25121981063,0.13135952368
2001,1,PANCHTHAR,Gaunpalika,Falelung,2,71995.60696590002,207140709.23000001907,700,700,0.04661300000,6.85440700000,"12",511.29900000000,700,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,701248.23501299997,6.71358581795,0.04666430386
