Province,District,Crop,Area_Ha,Production_Mt,Yield_MtHa,Year_BS,Year_AD
LUMBINI,PYUTHAN,Maize,12140.0,40097.0,3.3,2080/81,2023/24
LUMBINI,PYUTHAN,Wheat,8651.0,25087.0,2.9,2080/81,2023/24
LUMBINI,RUKUMEAST,Maize,5048.0,16641.0,3.3,2080/81,2023/24
LUMBINI,RUKUMEAST,Wheat,3213.0,9285.0,2.89,2080/81,2023/24
LUMBINI,BARDIYA,Maize,5530.0,25198.0,4.56,2080/81,2023/24
LUMBINI,BARDIYA,Wheat,23335.0,86340.0,3.7,2080/81,2023/24
KARNALI,DOLPA,Maize,2159.0,3750.0,1.74,2080/81,2023/24
KARNALI,DOLPA,Wheat,2225.0,4165.0,1.83,2080/81,2023/24
KARNALI,MUGU,Maize,1222.0,2139.0,1.75,2080/81,2023/24
KARNALI,MUGU,Wheat,1757.0,3272.0,1.86,2080/81,2023/24
KARNALI,HUMLA,Maize,231.0,290.0,1.26,2080/81,2023/24
KARNALI,HUMLA,Wheat,1072.0,1115.0,1.04,2080/81,2023/24
KARNALI,JUMLA,Maize,4450.0,10500.0,2.36,2080/81,2023/24
KARNALI,JUMLA,Wheat,2476.0,5408.0,2.18,2080/81,2023/24
KARNALI,KALIKOT,Maize,3550.0,8060.0,2.27,2080/81,2023/24
KARNALI,KALIKOT,Wheat,5596.0,11313.0,2.02,2080/81,2023/24
KARNALI,RUKUMWEST,Maize,8900.0,35340.0,3.97,2080/81,2023/24
KARNALI,RUKUMWEST,Wheat,9080.0,21713.0,2.39,2080/81,2023/24
KARNALI,SALYAN,Maize,17650.0,74700.0,4.23,2080/81,2023/24
KARNALI,SALYAN,Wheat,13125.0,28528.0,2.17,2080/81,2023/24
KARNALI,JAJARKOT,Maize,10250.0,33313.0,3.25,2080/81,2023/24
KARNALI,JAJARKOT,Wheat,10410.0,25100.0,2.41,2080/81,2023/24
KARNALI,DAILEKH,Maize,19120.0,45310.0,2.37,2080/81,2023/24
KARNALI,DAILEKH,Wheat,13175.0,17274.0,1.31,2080/81,2023/24
KARNALI,SURKHET,Maize,15225.0,45475.0,2.99,2080/81,2023/24
KARNALI,SURKHET,Wheat,12050.0,34102.0,2.83,2080/81,2023/24
SUDURPASHCHIM,BAJURA,Maize,1120.0,2800.0,2.5,2080/81,2023/24
SUDURPASHCHIM,BAJURA,Wheat,6430.0,11896.0,1.85,2080/81,2023/24
SUDURPASHCHIM,BAJHANG,Maize,4075.0,10717.0,2.63,2080/81,2023/24
SUDURPASHCHIM,BAJHANG,Wheat,9365.0,20697.0,2.21,2080/81,2023/24
SUDURPASHCHIM,DARCHULA,Maize,5538.0,15618.0,2.82,2080/81,2023/24
SUDURPASHCHIM,DARCHULA,Wheat,5950.0,11350.0,1.91,2080/81,2023/24
SUDURPASHCHIM,ACHHAM,Maize,5354.0,13171.0,2.46,2080/81,2023/24
SUDURPASHCHIM,ACHHAM,Wheat,10670.0,18993.0,1.78,2080/81,2023/24
SUDURPASHCHIM,DOTI,Maize,3650.0,10622.0,2.91,2080/81,2023/24
SUDURPASHCHIM,DOTI,Wheat,10300.0,21836.0,2.12,2080/81,2023/24
SUDURPASHCHIM,BAITADI,Maize,8700.0,24492.0,2.82,2080/81,2023/24
SUDURPASHCHIM,BAITADI,Wheat,12350.0,20378.0,1.65,2080/81,2023/24
SUDURPASHCHIM,DADELDHURA,Maize,3800.0,10000.0,2.63,2080/81,2023/24
SUDURPASHCHIM,DADELDHURA,Wheat,7590.0,16678.0,2.2,2080/81,2023/24
SUDURPASHCHIM,KAILALI,Maize,6054.0,22460.0,3.71,2080/81,2023/24
SUDURPASHCHIM,KAILALI,Wheat,34840.0,123682.0,3.55,2080/81,2023/24
SUDURPASHCHIM,KANCHANPUR,Maize,2950.0,11859.0,4.02,2080/81,2023/24
SUDURPASHCHIM,KANCHANPUR,Wheat,31115.0,106102.0,3.41,2080/81,2023/24
KOSHI,TAPLEJUNG,Millet,2966.0,4270.0,1.44,2080/81,2023/24
KOSHI,TAPLEJUNG,Buckwheat,118.0,130.0,1.1,2080/81,2023/24
KOSHI,TAPLEJUNG,Barley,266.0,372.0,1.4,2080/81,2023/24
KOSHI,SANKHUWASABHA,Millet,6669.0,8803.0,1.32,2080/81,2023/24
KOSHI,SANKHUWASABHA,Buckwheat,17.0,22.0,1.35,2080/81,2023/24
KOSHI,SANKHUWASABHA,Barley,13.5,17.55,1.3,2080/81,2023/24
KOSHI,SOLUKHUMBU,Millet,2105.0,2819.0,1.34,2080/81,2023/24
KOSHI,SOLUKHUMBU,Buckwheat,301.0,276.0,0.92,2080/81,2023/24
KOSHI,SOLUKHUMBU,Barley,165.0,177.21,1.07,2080/81,2023/24
KOSHI,PANCHTHAR,Millet,3208.0,6416.0,2.0,2080/81,2023/24
KOSHI,PANCHTHAR,Buckwheat,50.0,37.0,0.74,2080/81,2023/24
KOSHI,PANCHTHAR,Barley,302.0,393.0,1.3,2080/81,2023/24
KOSHI,ILLAM,Millet,1578.0,1894.0,1.2,2080/81,2023/24
KOSHI,ILLAM,Buckwheat,16.0,16.0,1.02,2080/81,2023/24
KOSHI,ILLAM,Barley,48.0,53.76,1.12,2080/81,2023/24
KOSHI,TERHATHUM,Millet,2120.0,2521.0,1.19,2080/81,2023/24
